City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Hilo,US,19.73,-155.09,78.80,61,1,4.7,clear sky,0.0,0.0
Te Anau,NZ,-45.42,167.72,46.06,79,3,3.09,clear sky,0.0,0.0
Agadez,NE,19.75,10.25,88.11,16,5,7.25,clear sky,0.0,0.0
Byron Bay,AU,-28.65,153.62,75.20,53,29,10.29,scattered clouds,0.0,0.0
Hobart,AU,-42.88,147.33,59.00,54,75,5.82,broken clouds,0.0,0.0
Lakatoro,VU,-16.10,167.42,84.20,70,20,1.12,few clouds,0.0,0.0
Wasilla,US,61.58,-149.44,55.40,66,75,6.93,broken clouds,0.0,0.0
Puerto Maldonado,PE,-12.60,-69.18,71.38,78,100,1.23,overcast clouds,0.0,0.0
Punta Arenas,CL,-53.15,-70.92,41.00,80,100,8.05,light rain,0.0,0.0
Ribeira Grande,PT,38.52,-28.70,59.00,77,75,3.36,broken clouds,0.0,0.0
Atuona,PF,-9.80,-139.03,80.92,79,12,18.19,few clouds,0.0,0.0
Busselton,AU,-33.65,115.33,66.00,43,96,1.88,overcast clouds,0.0,0.0
Fortuna,US,40.60,-124.16,54.00,87,90,5.82,overcast clouds,0.0,0.0
Tiksi,RU,71.69,128.87,40.37,66,23,9.31,few clouds,0.0,0.0
Puerto Ayora,EC,-0.74,-90.35,73.99,95,59,1.01,broken clouds,0.0,0.0
Orlik,RU,52.52,99.83,48.70,52,100,12.5,light rain,0.0,0.0
Ketchikan,US,55.34,-131.65,48.20,100,90,10.29,light rain,0.0,0.0
Alta Floresta,BR,-9.88,-56.09,66.45,84,15,4.7,few clouds,0.0,0.0
Kendari,ID,-3.94,122.50,78.91,88,100,3.94,moderate rain,0.2,0.0
Ubatuba,BR,-23.43,-45.07,67.91,63,0,5.7,clear sky,0.0,0.0
Nikolskoye,RU,59.70,30.79,48.20,57,40,8.95,scattered clouds,0.0,0.0
Rikitea,PF,-23.12,-134.97,76.10,81,53,9.1,broken clouds,0.0,0.0
Provideniya,RU,64.38,-173.30,60.80,48,0,13.42,clear sky,0.0,0.0
Cape Town,ZA,-33.93,18.42,61.00,100,0,0.78,fog,0.0,0.0
Bredasdorp,ZA,-34.53,20.04,46.40,93,0,4.7,clear sky,0.0,0.0
Mbeya,TZ,-8.90,33.45,60.13,70,37,5.75,scattered clouds,0.0,0.0
Butaritari,KI,3.07,172.79,83.86,76,1,16.89,clear sky,0.0,0.0
Katsuura,JP,35.13,140.30,72.00,86,100,14.79,light rain,0.0,0.0
Port Alfred,ZA,-33.59,26.89,60.01,80,11,9.15,few clouds,0.0,0.0
Gamba,GA,-2.65,10.00,74.03,97,100,3.18,light rain,0.1,0.0
Lensk,RU,60.73,114.93,68.95,25,1,7.29,clear sky,0.0,0.0
Bougouni,ML,11.42,-7.48,73.35,83,83,3.27,broken clouds,0.0,0.0
Broken Hill,AU,-31.95,141.43,57.20,41,90,24.16,overcast clouds,0.0,0.0
Kavaratti,IN,10.57,72.64,86.00,74,40,9.17,scattered clouds,0.0,0.0
Yellowknife,CA,62.46,-114.35,41.00,65,90,13.87,overcast clouds,0.0,0.0
Saint George,US,37.10,-113.58,77.00,16,1,10.29,clear sky,0.0,0.0
Todos Santos,MX,23.45,-110.22,64.99,86,0,8.75,clear sky,0.0,0.0
Kapaa,US,22.08,-159.32,75.20,83,20,14.99,few clouds,0.0,0.0
Sobolevo,RU,54.43,31.90,46.31,78,39,16.84,scattered clouds,0.0,0.0
Balikpapan,ID,-1.27,116.83,84.20,89,20,4.7,few clouds,0.0,0.0
Champerico,GT,14.30,-91.92,78.42,81,87,13.31,overcast clouds,0.0,0.0
Orange,US,33.70,-117.77,64.99,84,100,2.84,overcast clouds,0.0,0.0
Kruisfontein,ZA,-34.00,24.73,55.08,62,0,4.7,clear sky,0.0,0.0
