City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hilo,US,78.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
Agadez,NE,88.11,clear sky,19.75,10.25,
Byron Bay,AU,75.2,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
Lakatoro,VU,84.2,few clouds,-16.1,167.42,Lakatoro Palm Lodge
Puerto Maldonado,PE,71.38,overcast clouds,-12.6,-69.18,Wasai Hotel
Atuona,PF,80.92,few clouds,-9.8,-139.03,Villa Enata
Puerto Ayora,EC,73.99,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Rikitea,PF,76.1,broken clouds,-23.12,-134.97,Pension Maro'i
Butaritari,KI,83.86,clear sky,3.07,172.79,Isles Sunset Lodge
Katsuura,JP,72.0,light rain,35.13,140.3,Katsuura Hotel Mikazuki
Bougouni,ML,73.35,broken clouds,11.42,-7.48,Non Stop
Kavaratti,IN,86.0,scattered clouds,10.57,72.64,Bismillah Hotel And Lodging
Saint George,US,77.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Kapaa,US,75.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Balikpapan,ID,84.2,few clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
Champerico,GT,78.42,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
Shenjiamen,CN,70.07,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
Sambava,MG,77.97,clear sky,-14.27,50.17,Melrose
Seoul,KR,77.0,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
Saint-Philippe,RE,78.8,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Nakano,JP,79.0,light rain,36.75,138.37,Yudanaka Onsen Seifuso
Souillac,MU,78.8,scattered clouds,-20.52,57.52,Bils' Villa
Hasaki,JP,73.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
Korla,CN,87.26,clear sky,41.76,86.15,Gulisitan Hotel
Altay,CN,76.41,clear sky,47.87,88.12,Jinqiao Hotel
Lugovoy,KZ,85.08,clear sky,42.95,72.76,
Port Keats,AU,88.88,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
Teacapan,MX,75.02,broken clouds,22.55,-105.75,Villas y Hotel Maria Fernanda
Katobu,ID,83.1,overcast clouds,-4.94,122.53,La Ode Gombe
Kavieng,PG,85.41,few clouds,-2.57,150.8,Nusa Island Retreat
Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
Roebourne,AU,79.02,overcast clouds,-20.78,117.13,Harding River Caravan Park
Mabaruma,GY,76.06,overcast clouds,8.2,-59.78,
Hithadhoo,MV,85.1,broken clouds,-0.6,73.08,Scoop Guest House
Lake Charles,US,77.0,clear sky,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
Sibolga,ID,87.8,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
Port Macquarie,AU,70.0,scattered clouds,-31.43,152.92,Rydges Port Macquarie
Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
Arraial Do Cabo,BR,70.02,scattered clouds,-22.97,-42.03,Pousada Porto Praia
Urucara,BR,74.71,overcast clouds,-2.54,-57.76,Pousada Maria Bonita
Marawi,PH,87.01,moderate rain,8.0,124.29,Derogongan Residence
Hami,CN,86.7,clear sky,42.8,93.45,Laoyutang Resort
Georgetown,MY,89.6,few clouds,5.41,100.34,Cititel Penang
Maine-Soroa,NE,83.84,broken clouds,13.21,12.02,
Carnarvon,AU,77.05,overcast clouds,-24.87,113.63,Hospitality Carnarvon
Sao Filipe,CV,72.72,clear sky,14.9,-24.5,Tortuga B&B
Bacabal,BR,73.36,moderate rain,-4.29,-44.79,Rancho Sol Nascente
Port Blair,IN,87.87,overcast clouds,11.67,92.75,Hotel Sentinel
Fukue,JP,75.2,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
Pedernales,DO,78.19,scattered clouds,18.04,-71.74,Hotel Costa Marina
Ormara,PK,85.73,few clouds,25.21,64.64,
Geraldton,AU,73.4,broken clouds,-28.77,114.6,Broadwater Mariner Resort
Eyl,SO,89.22,broken clouds,7.98,49.82,Amiin Hotel
Rincon,US,73.4,clear sky,32.3,-81.24,Bent tree subdivision
Manokwari,ID,83.66,light rain,-0.87,134.08,Swiss Belhotel Manokwari
Semnan,IR,86.68,clear sky,35.57,53.4,Semnan Tourist Hotel
Raichur,IN,88.29,overcast clouds,16.2,77.37,Hotel CM Residency
West Wendover,US,75.2,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
Brawley,US,82.4,clear sky,32.98,-115.53,Brawley Inn Hotel & Conference Center
Airai,TL,72.21,clear sky,-8.93,125.41,Juvinal Martin
San Patricio,MX,73.0,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
Henties Bay,,72.99,clear sky,-22.12,14.28,Fishermans Guest House
Mpulungu,ZM,74.48,broken clouds,-8.76,31.11,Nawelah Lodge
Faanui,PF,80.98,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Grand Gaube,MU,79.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Lere,NG,73.83,overcast clouds,10.39,8.57,
Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
Padang,ID,86.76,light rain,-0.95,100.35,Mercure Padang
Merced,US,70.0,overcast clouds,37.17,-120.75,
Itarema,BR,75.2,broken clouds,-2.92,-39.92,Windvillage
Itoman,JP,84.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
Ondarroa,ES,71.6,broken clouds,43.32,-2.42,Hostal Rin
Bengkulu,ID,85.68,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
Buala,SB,84.61,light rain,-8.14,159.59,Maringe Lagoon Lodge
Pangkalanbuun,ID,84.45,moderate rain,-2.68,111.62,Grand Kecubung Hotel
Lorengau,PG,85.89,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
Galle,LK,85.05,overcast clouds,6.04,80.22,CocoBay Unawatuna
Charlestown,AU,70.0,light rain,-32.95,151.67,Panorama Motor Inn Hotel
Russell,US,73.4,clear sky,32.35,-85.2,Macs
Moju,BR,77.0,scattered clouds,-1.88,-48.77,HOTEL MARTINS
Matara,LK,86.85,overcast clouds,5.95,80.54,Amaloh Boutique Resort
Pucallpa,PE,72.61,overcast clouds,-8.38,-74.55,Manish Hotel Ecológico
Lafia,NG,77.95,overcast clouds,8.48,8.52,Low Cost Housing Estate
Teluk Nibung,ID,88.7,broken clouds,3.0,99.82,PONDOK FELISHA JUICE
Namibe,AO,73.96,clear sky,-15.2,12.15,Chik-Chik Namibe
Bodden Town,KY,82.0,broken clouds,19.28,-81.25,Will T Place
Tiarei,PF,80.6,few clouds,-17.53,-149.33,Le Rocher de Tahiti
Moyo,UG,71.46,scattered clouds,3.66,31.72,"Multi Purpose Training Center, Moyo"
Kathmandu,NP,77.0,scattered clouds,27.72,85.32,Hotel Shanker Kathmandu
Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
Abha,SA,82.4,scattered clouds,18.22,42.51,Abha Hotel
Bandarbeyla,SO,87.85,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
Tateyama,JP,71.01,light intensity shower rain,34.98,139.87,Tateyama Seaside Hotel
Galesong,ID,89.6,few clouds,-5.32,119.37,Sapriadi Appy
Tukrah,LY,70.52,scattered clouds,32.53,20.58,استراحة لاقروتا
Wanning,CN,88.54,light rain,18.8,110.4,Paradise Hotel
Bungu,TZ,74.88,clear sky,-7.63,39.06,
Sarh,TD,82.4,broken clouds,9.14,18.39,Hôtel des Chasses
Auki,SB,83.75,broken clouds,-8.77,160.7,Auki Motel
Sao Jose Da Coroa Grande,BR,74.7,light rain,-8.9,-35.15,Crôa Mares Hotel
Vao,NC,72.43,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
Ternate,ID,86.02,light rain,0.8,127.4,Grand Dafam Bela Ternate
Tshikapa,CD,74.46,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
Kozluk,TR,73.4,scattered clouds,38.19,41.49,roni rezisdans kozluk apart otel
Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
Cairns,AU,80.6,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
Misratah,LY,70.56,few clouds,32.38,15.09,فندق الماسة
Sinnamary,GF,78.15,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
Yorosso,ML,77.81,overcast clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
Faya,SA,82.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
Namatanai,PG,84.36,light rain,-3.67,152.43,Namatanai Hotel
Kabin Buri,TH,84.79,light rain,13.95,101.72,Baan Sri Family
