City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fortuna,US,2020-05-29 04:20:50,40.6,-124.16,57.0,100,1,8.05
1,Broome,US,2020-05-29 04:21:19,42.25,-75.83,73.0,88,90,11.41
2,Awjilah,LY,2020-05-29 04:21:20,29.11,21.29,60.03,66,1,10.2
3,North Myrtle Beach,US,2020-05-29 04:17:30,33.82,-78.68,77.0,94,90,11.41
4,Hobart,AU,2020-05-29 04:20:18,-42.88,147.33,66.2,45,75,19.46
5,Fairbanks,US,2020-05-29 04:17:42,64.84,-147.72,66.2,45,90,3.36
6,Saint George,US,2020-05-29 04:20:59,37.1,-113.58,91.4,13,1,4.7
7,Ponta Do Sol,PT,2020-05-29 04:21:20,32.67,-17.1,64.4,77,20,1.12
8,Lata,PT,2020-05-29 04:21:20,40.16,-8.33,68.0,89,0,3.4
9,Ushuaia,AR,2020-05-29 04:18:48,-54.8,-68.3,42.8,79,40,18.34
10,Ribeira Grande,PT,2020-05-29 04:21:20,38.52,-28.7,60.13,62,7,8.55
11,Pierre,US,2020-05-29 04:20:37,44.37,-100.35,51.8,76,1,9.17
12,Vaini,TO,2020-05-29 04:20:07,-21.2,-175.2,75.2,88,40,9.17
13,Ahmadpur Sial,PK,2020-05-29 04:21:21,30.68,71.75,87.8,45,40,6.93
14,Kieta,PG,2020-05-29 04:21:21,-6.22,155.63,84.67,70,100,2.62
15,Rikitea,PF,2020-05-29 04:21:21,-23.12,-134.97,75.65,85,3,10.54
16,Albany,US,2020-05-29 04:21:21,42.6,-73.97,73.0,76,88,10.13
17,Bluff,NZ,2020-05-29 04:21:21,-46.6,168.33,53.76,79,43,8.05
18,Jamestown,US,2020-05-29 04:20:01,42.1,-79.24,69.01,88,40,4.7
19,Mataura,NZ,2020-05-29 04:21:22,-46.19,168.86,51.1,78,83,1.86
20,Arraial Do Cabo,BR,2020-05-29 04:21:22,-22.97,-42.03,68.74,70,19,4.36
21,Puerto Ayora,EC,2020-05-29 04:19:48,-0.74,-90.35,73.0,94,95,3.0
22,Bonavista,CA,2020-05-29 04:21:22,48.65,-53.11,46.99,78,71,1.99
23,Westport,US,2020-05-29 04:20:23,41.14,-73.36,66.99,93,90,8.05
24,Krasnogorodsk,RU,2020-05-29 04:21:22,56.83,28.28,48.54,79,0,7.23
25,Praia Da Vitoria,PT,2020-05-29 04:21:22,38.73,-27.07,57.2,76,40,5.73
26,Ypsonas,CY,2020-05-29 04:21:22,34.69,32.96,68.0,68,20,13.87
27,Kapaa,US,2020-05-29 04:19:49,22.08,-159.32,77.0,73,90,11.41
28,Butaritari,KI,2020-05-29 04:21:23,3.07,172.79,83.25,77,37,10.2
29,Punta Arenas,CL,2020-05-29 04:17:05,-53.15,-70.92,39.0,77,92,4.7
30,Lebu,CL,2020-05-29 04:21:23,-37.62,-73.65,48.94,69,8,14.81
31,Port Elizabeth,ZA,2020-05-29 04:20:25,-33.92,25.57,60.8,93,75,25.28
32,Hithadhoo,MV,2020-05-29 04:20:15,-0.6,73.08,79.14,79,100,19.3
33,Hermanus,ZA,2020-05-29 04:21:23,-34.42,19.23,60.01,99,97,3.0
34,Tierralta,CO,2020-05-29 04:21:24,8.17,-76.06,76.48,84,100,2.08
35,Sao Jose De Ribamar,BR,2020-05-29 04:21:24,-2.56,-44.05,78.8,94,25,3.36
36,Dunedin,NZ,2020-05-29 04:21:24,-45.87,170.5,57.0,62,91,0.89
37,Qaanaaq,GL,2020-05-29 04:19:53,77.48,-69.36,24.55,88,21,3.36
38,Yellowknife,CA,2020-05-29 04:20:07,62.46,-114.35,42.01,52,5,8.05
39,Port Alfred,ZA,2020-05-29 04:21:24,-33.59,26.89,62.01,90,98,8.99
40,Cabo San Lucas,MX,2020-05-29 04:16:27,22.89,-109.91,80.6,44,5,12.12
41,Tuktoyaktuk,CA,2020-05-29 04:21:25,69.45,-133.04,44.6,70,20,8.05
42,Busselton,AU,2020-05-29 04:19:52,-33.65,115.33,62.01,70,100,18.7
43,Lagoa,PT,2020-05-29 04:21:25,39.05,-27.98,60.15,65,6,10.83
44,Severo-Kurilsk,RU,2020-05-29 04:21:25,50.68,156.12,37.9,92,100,12.03
45,Cabedelo,BR,2020-05-29 04:17:58,-6.98,-34.83,77.0,94,75,4.7
46,Novyy Urengoy,RU,2020-05-29 04:21:25,66.08,76.63,51.85,53,100,12.62
47,Upernavik,GL,2020-05-29 04:21:25,72.79,-56.15,27.25,95,0,4.32
48,Binga,ZW,2020-05-29 04:21:25,-17.62,27.34,55.11,41,0,4.59
49,Vao,NC,2020-05-29 04:21:25,-22.67,167.48,73.89,81,14,11.54
50,Kuloy,RU,2020-05-29 04:21:26,61.03,42.49,58.57,64,59,1.79
51,Mnogovershinnyy,RU,2020-05-29 04:21:26,53.94,139.92,58.69,57,60,7.36
52,Awbari,LY,2020-05-29 04:21:26,26.59,12.78,70.79,30,100,8.66
53,Codrington,AU,2020-05-29 04:20:33,-38.27,141.97,60.31,59,66,15.17
54,Kutum,SD,2020-05-29 04:21:26,14.2,24.67,68.29,24,51,11.23
55,East London,ZA,2020-05-29 04:16:44,-33.02,27.91,69.8,32,98,14.99
56,Muskogee,US,2020-05-29 04:21:26,35.58,-95.33,66.0,93,1,4.7
57,Bilibino,RU,2020-05-29 04:21:26,68.05,166.44,47.03,53,0,9.57
58,Avarua,CK,2020-05-29 04:16:48,-21.21,-159.78,80.6,88,75,11.41
59,Provideniya,RU,2020-05-29 04:21:27,64.38,-173.3,37.4,86,90,13.42
60,Mangaratiba,BR,2020-05-29 04:21:27,-22.96,-44.04,61.99,80,0,4.54
61,Carbondale,US,2020-05-29 04:21:27,37.73,-89.22,69.8,73,75,3.36
62,Itarema,BR,2020-05-29 04:20:47,-2.92,-39.92,77.2,90,55,7.72
63,Robat Karim,IR,2020-05-29 04:21:27,35.48,51.08,86.0,17,7,4.7
64,Mount Gambier,AU,2020-05-29 04:21:27,-37.83,140.77,60.8,63,26,13.87
65,Chimore,BO,2020-05-29 04:21:28,-16.98,-65.13,63.63,82,89,0.92
66,Plettenberg Bay,ZA,2020-05-29 04:21:28,-34.05,23.37,60.04,89,100,11.99
67,Husavik,IS,2020-05-29 04:21:28,66.04,-17.34,48.2,81,100,18.34
68,Ararangua,BR,2020-05-29 04:21:28,-28.93,-49.49,55.15,84,0,2.64
69,Payo,ID,2020-05-29 04:21:28,-3.75,103.64,90.12,57,6,2.75
70,Katobu,ID,2020-05-29 04:21:28,-4.94,122.53,83.73,81,99,5.26
71,Kolpashevo,RU,2020-05-29 04:21:28,58.31,82.91,60.78,51,87,12.66
72,Bloemfontein,ZA,2020-05-29 04:21:28,-29.12,26.21,28.4,86,34,2.24
73,Havoysund,NO,2020-05-29 04:21:29,71.0,24.66,41.0,86,75,12.75
74,Tasiilaq,GL,2020-05-29 04:21:29,65.61,-37.64,37.4,93,100,10.29
75,Ilulissat,GL,2020-05-29 04:21:29,69.22,-51.1,28.4,79,26,3.36
76,Cape Town,ZA,2020-05-29 04:19:50,-33.93,18.42,63.0,93,75,6.93
77,Sibolga,ID,2020-05-29 04:21:29,1.74,98.78,87.76,56,100,2.44
78,Sangar,RU,2020-05-29 04:21:29,63.92,127.47,41.13,65,100,14.99
79,New Norfolk,AU,2020-05-29 04:19:54,-42.78,147.06,64.99,77,100,5.01
80,Yumen,CN,2020-05-29 04:20:53,40.28,97.2,68.43,22,24,21.63
81,Tari,NG,2020-05-29 04:21:30,12.41,4.49,86.59,39,57,8.16
82,Bijie,CN,2020-05-29 04:21:30,27.31,105.29,70.21,61,58,2.59
83,Mitsamiouli,KM,2020-05-29 04:21:30,-11.38,43.28,79.38,62,2,5.64
84,Palmer,US,2020-05-29 04:20:00,42.16,-72.33,70.0,94,90,11.41
85,Rantepao,ID,2020-05-29 04:21:30,-2.97,119.9,77.65,80,100,2.42
86,Ormara,PK,2020-05-29 04:21:30,25.21,64.64,85.87,77,0,17.47
87,Dawei,MM,2020-05-29 04:21:31,14.08,98.2,89.55,61,11,4.97
88,Pasni,PK,2020-05-29 04:21:31,25.26,63.47,87.13,67,0,8.28
89,Kavaratti,IN,2020-05-29 04:18:14,10.57,72.64,87.8,70,20,5.82
90,Kota Belud,MY,2020-05-29 04:21:31,6.35,116.43,91.4,75,20,5.82
91,Vanimo,PG,2020-05-29 04:21:31,-2.67,141.3,86.45,60,85,4.85
92,Khani,GE,2020-05-29 04:21:31,41.96,42.96,60.8,93,90,4.7
93,Port Hardy,CA,2020-05-29 04:21:32,50.7,-127.42,53.6,81,75,10.29
94,Barrow,US,2020-05-29 04:17:56,71.29,-156.79,33.8,71,1,3.67
95,Andapa,MG,2020-05-29 04:21:32,-14.65,49.65,69.55,80,82,2.24
96,Muroto,JP,2020-05-29 04:21:32,33.28,134.15,75.2,64,20,9.17
97,Bathurst,AU,2020-05-29 04:21:32,-33.42,149.58,64.99,51,0,1.45
98,Perpignan,FR,2020-05-29 04:21:32,42.75,2.75,64.0,87,0,5.82
99,Khatanga,RU,2020-05-29 04:19:54,71.97,102.5,39.07,73,100,15.41
100,Vardo,NO,2020-05-29 04:21:33,70.37,31.11,42.8,70,48,5.82
101,Aklavik,CA,2020-05-29 04:21:33,68.22,-135.01,50.0,57,20,9.17
102,Bandarbeyla,SO,2020-05-29 04:21:33,9.49,50.81,83.7,67,100,26.24
103,San Patricio,MX,2020-05-29 04:20:26,19.22,-104.7,70.83,90,0,6.33
104,Onokhoy,RU,2020-05-29 04:21:33,51.93,108.07,55.4,37,40,15.66
105,Arandis,NA,2020-05-29 04:21:33,-22.42,14.97,64.98,28,0,8.28
106,Atuona,PF,2020-05-29 04:21:33,-9.8,-139.03,80.96,76,12,14.74
107,Lewistown,US,2020-05-29 04:19:59,40.6,-77.57,71.01,100,75,3.36
108,Saskylakh,RU,2020-05-29 04:20:05,71.92,114.08,39.22,72,98,10.16
109,Senno,RU,2020-05-29 04:21:34,59.53,33.92,50.43,91,81,3.96
110,Korla,CN,2020-05-29 04:21:34,41.76,86.15,73.27,18,6,8.66
111,Arlit,NE,2020-05-29 04:19:01,18.74,7.39,85.08,30,37,18.7
112,Gat,IL,2020-05-29 04:19:01,31.61,34.76,69.01,82,42,9.66
113,Acapulco,MX,2020-05-29 04:21:17,16.86,-99.89,76.17,76,5,5.55
114,Hilo,US,2020-05-29 04:19:05,19.73,-155.09,78.8,65,90,11.41
115,Yar-Sale,RU,2020-05-29 04:21:34,66.83,70.83,47.28,74,100,17.83
116,Huarmey,PE,2020-05-29 04:21:34,-10.07,-78.15,66.99,85,0,6.76
117,La Suiza,CR,2020-05-29 04:21:35,9.85,-83.61,68.0,100,100,4.7
118,Alausi,EC,2020-05-29 04:21:35,-2.2,-78.83,48.07,98,99,1.54
119,Norman Wells,CA,2020-05-29 04:21:35,65.28,-126.83,57.2,33,20,12.75
120,Kamina,CD,2020-05-29 04:21:35,-8.74,24.99,62.44,68,4,3.15
121,Nedryhayliv,UA,2020-05-29 04:21:35,50.83,33.88,58.62,91,34,6.46
122,Mar Del Plata,AR,2020-05-29 04:21:35,-38.0,-57.56,57.0,93,75,9.17
123,Amboasary,MG,2020-05-29 04:21:35,-25.03,46.38,64.4,100,20,2.24
124,Cherskiy,RU,2020-05-29 04:21:35,68.75,161.3,57.29,35,0,16.53
125,Gravelbourg,CA,2020-05-29 04:21:36,49.88,-106.55,54.81,55,65,6.4
126,Arman,RU,2020-05-29 04:20:49,59.7,150.17,37.76,92,100,6.53
127,Faya,SA,2020-05-29 04:21:36,18.39,42.45,68.0,45,0,3.31
128,Emerald,AU,2020-05-29 04:21:36,-23.53,148.17,78.8,26,0,11.41
129,Sayanogorsk,RU,2020-05-29 04:21:36,53.09,91.4,58.69,51,70,3.22
130,Faanui,PF,2020-05-29 04:21:36,-16.48,-151.75,81.52,81,1,16.78
131,Shingu,JP,2020-05-29 04:21:36,33.73,135.98,78.8,44,20,9.17
132,Iqaluit,CA,2020-05-29 04:19:51,63.75,-68.51,23.0,79,90,8.05
133,Constantine,DZ,2020-05-29 04:21:37,36.37,6.61,55.4,76,40,3.47
134,Te Anau,NZ,2020-05-29 04:20:52,-45.42,167.72,52.18,75,53,1.25
135,Avera,US,2020-05-29 04:21:37,33.19,-82.53,75.2,83,1,3.89
136,Vilcun,CL,2020-05-29 04:21:37,-38.65,-72.23,33.8,100,90,1.34
137,Nizwa,OM,2020-05-29 04:21:37,22.93,57.53,86.86,45,7,2.55
138,Paita,PE,2020-05-29 04:21:37,-5.09,-81.11,69.82,80,27,8.08
139,Ibra,OM,2020-05-29 04:21:37,22.69,58.53,83.93,58,0,4.27
140,Cururupu,BR,2020-05-29 04:21:37,-1.83,-44.87,75.83,93,32,3.02
141,Monkey Hill,KN,2020-05-29 04:21:38,17.32,-62.72,80.6,83,62,8.05
142,Fountain,US,2020-05-29 04:19:36,38.68,-104.7,68.0,45,90,5.82
143,Chara,RU,2020-05-29 04:21:38,56.91,118.26,49.51,48,82,2.53
144,Pisco,PE,2020-05-29 04:21:38,-13.7,-76.22,68.0,77,90,6.93
145,Svetlyy,RU,2020-05-29 04:21:38,54.67,20.13,50.0,81,75,13.42
146,Batticaloa,LK,2020-05-29 04:21:38,7.71,81.69,85.51,74,82,4.38
147,Paamiut,GL,2020-05-29 04:17:46,61.99,-49.67,33.71,91,96,17.67
148,Soe,ID,2020-05-29 04:21:39,-9.86,124.28,78.39,71,100,7.27
149,Kalmunai,LK,2020-05-29 04:20:50,7.42,81.82,85.82,72,100,4.23
150,Mandalgovi,MN,2020-05-29 04:21:39,45.76,106.27,41.2,81,100,13.73
151,Lufilufi,WS,2020-05-29 04:21:39,-13.87,-171.6,80.6,94,75,5.82
152,Nikolskoye,RU,2020-05-29 04:21:39,59.7,30.79,53.6,66,0,6.71
153,Waseca,US,2020-05-29 04:21:39,44.08,-93.51,60.01,54,1,9.17
154,Castro,BR,2020-05-29 04:21:39,-24.79,-50.01,44.47,78,0,1.97
155,Pailon,BO,2020-05-29 04:21:39,-17.65,-62.75,60.8,93,96,4.7
156,Krasne,UA,2020-05-29 04:21:40,49.91,24.61,51.8,81,98,8.95
157,Kandava,LV,2020-05-29 04:21:40,57.04,22.77,46.17,77,0,9.71
158,Oranjemund,NA,2020-05-29 04:21:40,-28.55,16.43,55.65,70,0,10.18
159,Sitka,US,2020-05-29 04:21:40,57.05,-135.33,50.0,87,90,14.99
160,Santa Cruz,BO,2020-05-29 04:21:40,-17.8,-63.17,60.8,93,73,4.7
161,Cidreira,BR,2020-05-29 04:20:18,-30.18,-50.21,60.76,86,0,9.08
162,Souillac,MU,2020-05-29 04:21:40,-20.52,57.52,77.0,73,40,12.75
163,Komsomolskiy,UZ,2020-05-29 04:21:41,40.43,71.72,73.4,46,15,4.7
164,Tuatapere,NZ,2020-05-29 04:21:41,-46.13,167.68,55.13,73,47,1.43
165,Thompson,CA,2020-05-29 04:19:51,55.74,-97.86,35.6,93,90,3.36
166,Erzin,TR,2020-05-29 04:21:41,36.96,36.2,66.99,73,37,6.53
167,Sao Felix Do Xingu,BR,2020-05-29 04:21:41,-6.64,-51.99,71.4,94,53,1.03
168,Maykor,RU,2020-05-29 04:21:41,59.01,55.88,58.32,67,0,6.6
169,Zhigansk,RU,2020-05-29 04:21:41,66.77,123.37,41.32,61,100,11.81
170,Krasnoselkup,RU,2020-05-29 04:21:41,65.7,82.47,58.37,38,98,15.68
171,Bone,DE,2020-05-29 04:21:41,51.97,12.14,44.01,91,62,4.18
172,Uzhur,RU,2020-05-29 04:21:42,55.3,89.83,55.02,50,24,3.69
173,Paralimni,CY,2020-05-29 04:21:42,35.04,33.98,66.2,59,20,2.24
174,Lucea,JM,2020-05-29 04:21:42,18.45,-78.17,82.4,78,40,4.7
175,Laguna,US,2020-05-29 04:21:42,38.42,-121.42,80.6,44,1,12.75
176,Benito Juarez,MX,2020-05-29 04:21:42,19.39,-99.17,59.0,72,90,3.36
177,Bengkulu,ID,2020-05-29 04:21:42,-3.8,102.27,85.6,63,0,4.7
178,Tiksi,RU,2020-05-29 04:21:42,71.69,128.87,30.49,98,100,13.49
179,Portland,US,2020-05-29 04:20:54,45.52,-122.68,79.0,41,40,9.17
180,Pevek,RU,2020-05-29 04:21:42,69.7,170.31,37.0,80,0,20.38
181,Juneau,US,2020-05-29 04:21:43,58.3,-134.42,62.6,42,75,1.3
182,Anuradhapura,LK,2020-05-29 04:21:43,8.36,80.42,84.74,69,99,12.19
183,Impfondo,CG,2020-05-29 04:21:43,1.64,18.07,71.96,97,90,1.36
184,Chokurdakh,RU,2020-05-29 04:21:43,70.63,147.92,59.45,32,86,22.93
185,Macusani,PE,2020-05-29 04:21:43,-14.08,-70.43,31.37,89,52,1.25
186,Lithakia,GR,2020-05-29 04:21:44,37.72,20.83,57.0,87,20,3.36
187,Bezhanitsy,RU,2020-05-29 04:21:44,56.98,29.89,47.88,85,12,7.4
188,Port Macquarie,AU,2020-05-29 04:19:51,-31.43,152.92,64.0,88,2,1.01
189,Port-Gentil,GA,2020-05-29 04:21:44,-0.72,8.78,78.89,83,96,13.29
190,Catamarca,AR,2020-05-29 04:21:44,-28.47,-65.79,59.0,66,0,1.01
191,Virginia Beach,US,2020-05-29 04:19:10,36.85,-75.98,73.99,94,75,9.17
192,Ahipara,NZ,2020-05-29 04:21:44,-35.17,173.17,62.53,84,45,5.37
193,Thurso,GB,2020-05-29 04:21:44,58.59,-3.53,50.0,93,99,5.82
194,Mahebourg,MU,2020-05-29 04:21:45,-20.41,57.7,77.0,73,40,12.75
195,Calbuco,CL,2020-05-29 04:21:45,-41.77,-73.13,35.6,93,75,1.12
196,Ola,RU,2020-05-29 04:21:45,59.58,151.28,39.52,81,97,11.05
197,Oranjestad,AW,2020-05-29 04:21:45,12.52,-70.03,80.6,83,20,17.22
198,Marawi,PH,2020-05-29 04:21:11,8.0,124.29,84.99,79,93,8.01
199,Bafoulabe,ML,2020-05-29 04:21:45,13.81,-10.83,92.16,32,16,2.39
200,Sorland,NO,2020-05-29 04:21:45,67.67,12.69,44.6,100,20,16.11
201,Vangaindrano,MG,2020-05-29 04:21:45,-23.35,47.6,69.21,92,18,4.88
202,Geraldton,AU,2020-05-29 04:21:46,-28.77,114.6,71.6,60,59,17.22
203,Skjervoy,NO,2020-05-29 04:21:46,70.03,20.97,42.17,83,100,15.95
204,Mandera,KE,2020-05-29 04:21:46,3.94,41.87,78.49,71,0,12.95
205,Beringovskiy,RU,2020-05-29 04:21:46,63.05,179.32,36.21,96,99,11.54
206,Pangai,TO,2020-05-29 04:21:46,-19.8,-174.35,80.6,69,20,4.7
207,Bethel,US,2020-05-29 04:21:46,41.37,-73.41,68.0,94,90,6.93
208,Ulaangom,MN,2020-05-29 04:21:46,49.98,92.07,56.05,35,0,9.06
209,Mana,GF,2020-05-29 04:21:46,5.66,-53.78,77.67,89,100,10.09
210,Canguaretama,BR,2020-05-29 04:21:46,-6.38,-35.13,77.0,94,40,3.36
211,Carnarvon,AU,2020-05-29 04:21:47,-24.87,113.63,68.18,53,7,6.4
212,Victor Harbor,AU,2020-05-29 04:21:47,-35.57,138.62,64.0,55,0,1.01
